batch_index,seed,products_final,mode,num_enzymes,gox_count,hrp_count,num_substrate,dt,total_time
1,626016,4156.99999999993,bulk,20,10,10,9000,0.0015,50
2,955004,5028.99999999977,bulk,20,10,10,9000,0.0015,50
3,345395,4666.99999999983,bulk,20,10,10,9000,0.0015,50
4,259865,4598.99999999984,bulk,20,10,10,9000,0.0015,50
5,863861,3957.99999999996,bulk,20,10,10,9000,0.0015,50
6,30133,3157.00000000012,bulk,20,10,10,9000,0.0015,50
7,678010,4555.99999999986,bulk,20,10,10,9000,0.0015,50
8,361718,4483.99999999986,bulk,20,10,10,9000,0.0015,50
9,292427,4134.99999999993,bulk,20,10,10,9000,0.0015,50
10,156315,4309.9999999999,bulk,20,10,10,9000,0.0015,50
11,12951,4311.9999999999,bulk,20,10,10,9000,0.0015,50
12,872742,4189.99999999991,bulk,20,10,10,9000,0.0015,50
13,591981,4214.99999999992,bulk,20,10,10,9000,0.0015,50
14,883675,4115.99999999994,bulk,20,10,10,9000,0.0015,50
15,192454,4270.9999999999,bulk,20,10,10,9000,0.0015,50
16,195649,2943.00000000011,bulk,20,10,10,9000,0.0015,50
17,687543,4920.99999999977,bulk,20,10,10,9000,0.0015,50
18,946899,4492.99999999986,bulk,20,10,10,9000,0.0015,50
19,476292,4781.9999999998,bulk,20,10,10,9000,0.0015,50
20,219577,4669.99999999982,bulk,20,10,10,9000,0.0015,50
21,115752,4644.99999999983,bulk,20,10,10,9000,0.0015,50
22,987519,4499.99999999986,bulk,20,10,10,9000,0.0015,50
23,909939,4602.99999999984,bulk,20,10,10,9000,0.0015,50
24,123723,4754.99999999982,bulk,20,10,10,9000,0.0015,50
25,443645,4456.99999999987,bulk,20,10,10,9000,0.0015,50
26,528731,4746.99999999983,bulk,20,10,10,9000,0.0015,50
27,371555,4566.99999999984,bulk,20,10,10,9000,0.0015,50
28,509078,4510.99999999986,bulk,20,10,10,9000,0.0015,50
29,536144,4176.99999999991,bulk,20,10,10,9000,0.0015,50
30,522418,4385.99999999989,bulk,20,10,10,9000,0.0015,50
