batch_index,seed,products_final,mode,num_enzymes,gox_count,hrp_count,num_substrate,dt,total_time
1,433390,693.000000000006,bulk,6,3,3,9000,0.0015,50
2,530290,631.000000000004,bulk,6,3,3,9000,0.0015,50
3,790433,479,bulk,6,3,3,9000,0.0015,50
4,157630,1067.99999999999,bulk,6,3,3,9000,0.0015,50
5,477109,655.000000000005,bulk,6,3,3,9000,0.0015,50
6,785462,890.000000000003,bulk,6,3,3,9000,0.0015,50
7,84773,871.000000000004,bulk,6,3,3,9000,0.0015,50
8,290872,943,bulk,6,3,3,9000,0.0015,50
9,111541,808.000000000008,bulk,6,3,3,9000,0.0015,50
10,352697,828.000000000007,bulk,6,3,3,9000,0.0015,50
11,824843,892.000000000003,bulk,6,3,3,9000,0.0015,50
12,91662,357.999999999998,bulk,6,3,3,9000,0.0015,50
13,58241,1047.99999999999,bulk,6,3,3,9000,0.0015,50
14,886856,776.000000000009,bulk,6,3,3,9000,0.0015,50
15,262716,1035.99999999999,bulk,6,3,3,9000,0.0015,50
16,459234,497.000000000001,bulk,6,3,3,9000,0.0015,50
17,727316,624.000000000004,bulk,6,3,3,9000,0.0015,50
18,182765,768.000000000008,bulk,6,3,3,9000,0.0015,50
19,414424,433.999999999999,bulk,6,3,3,9000,0.0015,50
20,391151,525.000000000002,bulk,6,3,3,9000,0.0015,50
21,475192,759.000000000008,bulk,6,3,3,9000,0.0015,50
22,736672,620.000000000004,bulk,6,3,3,9000,0.0015,50
23,399287,659.000000000005,bulk,6,3,3,9000,0.0015,50
24,12216,504.000000000001,bulk,6,3,3,9000,0.0015,50
25,826543,632.000000000004,bulk,6,3,3,9000,0.0015,50
26,324063,825.000000000006,bulk,6,3,3,9000,0.0015,50
27,38247,842.000000000005,bulk,6,3,3,9000,0.0015,50
28,630532,527.000000000001,bulk,6,3,3,9000,0.0015,50
29,425840,666.000000000006,bulk,6,3,3,9000,0.0015,50
30,97619,1323.99999999998,bulk,6,3,3,9000,0.0015,50
31,931906,695.000000000006,bulk,6,3,3,9000,0.0015,50
32,317555,790.000000000009,bulk,6,3,3,9000,0.0015,50
33,880634,757.000000000008,bulk,6,3,3,9000,0.0015,50
34,56272,810.000000000007,bulk,6,3,3,9000,0.0015,50
35,166655,562.000000000003,bulk,6,3,3,9000,0.0015,50
36,633108,885.000000000003,bulk,6,3,3,9000,0.0015,50
37,906058,582.000000000003,bulk,6,3,3,9000,0.0015,50
38,330301,585.000000000003,bulk,6,3,3,9000,0.0015,50
39,861761,554.000000000002,bulk,6,3,3,9000,0.0015,50
40,19293,741.000000000007,bulk,6,3,3,9000,0.0015,50
41,144839,951,bulk,6,3,3,9000,0.0015,50
42,667695,796.000000000009,bulk,6,3,3,9000,0.0015,50
43,368258,392.999999999998,bulk,6,3,3,9000,0.0015,50
44,45663,767.000000000008,bulk,6,3,3,9000,0.0015,50
45,773305,850.000000000005,bulk,6,3,3,9000,0.0015,50
46,132265,671.000000000006,bulk,6,3,3,9000,0.0015,50
47,773778,705.000000000007,bulk,6,3,3,9000,0.0015,50
48,283873,898.000000000002,bulk,6,3,3,9000,0.0015,50
49,77913,959,bulk,6,3,3,9000,0.0015,50
50,525066,889.000000000003,bulk,6,3,3,9000,0.0015,50
51,41627,1007,bulk,6,3,3,9000,0.0015,50
52,851525,461,bulk,6,3,3,9000,0.0015,50
53,832055,1184.99999999999,bulk,6,3,3,9000,0.0015,50
54,244772,656.000000000005,bulk,6,3,3,9000,0.0015,50
