batch_index,seed,products_final,mode,num_enzymes,gox_count,hrp_count,num_substrate,dt,total_time
1,433390,1369.99999999998,MSE,6,3,3,9000,0.0015,50
2,530290,1597.99999999997,MSE,6,3,3,9000,0.0015,50
3,790433,634.000000000005,MSE,6,3,3,9000,0.0015,50
4,157630,1616.99999999997,MSE,6,3,3,9000,0.0015,50
5,477109,1354.99999999998,MSE,6,3,3,9000,0.0015,50
6,785462,1965.00000000001,MSE,6,3,3,9000,0.0015,50
7,84773,2002.00000000001,MSE,6,3,3,9000,0.0015,50
8,290872,1866,MSE,6,3,3,9000,0.0015,50
9,111541,1596.99999999997,MSE,6,3,3,9000,0.0015,50
10,352697,2665.00000000009,MSE,6,3,3,9000,0.0015,50
11,824843,1704.99999999998,MSE,6,3,3,9000,0.0015,50
12,91662,1087.99999999999,MSE,6,3,3,9000,0.0015,50
13,58241,1920,MSE,6,3,3,9000,0.0015,50
14,886856,1435.99999999997,MSE,6,3,3,9000,0.0015,50
15,262716,2306.00000000005,MSE,6,3,3,9000,0.0015,50
16,459234,938.000000000001,MSE,6,3,3,9000,0.0015,50
17,727316,988.999999999998,MSE,6,3,3,9000,0.0015,50
18,182765,1568.99999999997,MSE,6,3,3,9000,0.0015,50
19,414424,902.000000000003,MSE,6,3,3,9000,0.0015,50
20,391151,1633.99999999997,MSE,6,3,3,9000,0.0015,50
21,475192,2669.00000000008,MSE,6,3,3,9000,0.0015,50
22,736672,1578.99999999996,MSE,6,3,3,9000,0.0015,50
23,399287,2379.00000000005,MSE,6,3,3,9000,0.0015,50
24,12216,1572.99999999997,MSE,6,3,3,9000,0.0015,50
25,826543,1254.99999999998,MSE,6,3,3,9000,0.0015,50
26,324063,1322.99999999998,MSE,6,3,3,9000,0.0015,50
27,38247,1654.99999999998,MSE,6,3,3,9000,0.0015,50
28,630532,1660.99999999998,MSE,6,3,3,9000,0.0015,50
29,425840,1474.99999999997,MSE,6,3,3,9000,0.0015,50
30,97619,2338.00000000005,MSE,6,3,3,9000,0.0015,50
31,931906,2025.00000000002,MSE,6,3,3,9000,0.0015,50
32,317555,1745.99999999998,MSE,6,3,3,9000,0.0015,50
33,880634,1765.99999999999,MSE,6,3,3,9000,0.0015,50
34,56272,1592.99999999997,MSE,6,3,3,9000,0.0015,50
35,166655,1822.99999999999,MSE,6,3,3,9000,0.0015,50
36,633108,1928.00000000001,MSE,6,3,3,9000,0.0015,50
37,906058,1297.99999999998,MSE,6,3,3,9000,0.0015,50
38,330301,2069.00000000002,MSE,6,3,3,9000,0.0015,50
39,861761,1964.00000000001,MSE,6,3,3,9000,0.0015,50
40,19293,1915,MSE,6,3,3,9000,0.0015,50
41,144839,1676.99999999998,MSE,6,3,3,9000,0.0015,50
42,667695,1700.99999999998,MSE,6,3,3,9000,0.0015,50
43,368258,1168.99999999999,MSE,6,3,3,9000,0.0015,50
44,45663,1293.99999999998,MSE,6,3,3,9000,0.0015,50
45,773305,1641.99999999997,MSE,6,3,3,9000,0.0015,50
46,132265,2097.00000000002,MSE,6,3,3,9000,0.0015,50
47,773778,959.999999999999,MSE,6,3,3,9000,0.0015,50
48,283873,1516.99999999997,MSE,6,3,3,9000,0.0015,50
49,77913,2195.00000000003,MSE,6,3,3,9000,0.0015,50
50,525066,1997.00000000001,MSE,6,3,3,9000,0.0015,50
51,41627,1572.99999999996,MSE,6,3,3,9000,0.0015,50
52,851525,1598.99999999997,MSE,6,3,3,9000,0.0015,50
53,832055,1590.99999999997,MSE,6,3,3,9000,0.0015,50
54,244772,1473.99999999997,MSE,6,3,3,9000,0.0015,50
55,702110,1271.99999999998,MSE,6,3,3,9000,0.0015,50
56,272049,504.000000000001,MSE,6,3,3,9000,0.0015,50
57,935102,2529.00000000007,MSE,6,3,3,9000,0.0015,50
58,909682,2495.00000000007,MSE,6,3,3,9000,0.0015,50
59,442283,1435.99999999997,MSE,6,3,3,9000,0.0015,50
